Organization Id,Name,Website,Country,Founded,Type,Number of employees,Median Salary,Profits in 2020(Million),Profits in 2021(Million)
4EB9d3E5cF79b91,Bernard Payne and Spencer,http://williamson.net/,Afghanistan,1990,Transportation,730,4852,2,3
BbA52b87BB6A32f,King Inc,https://www.fry.org/,Afghanistan,1985,Apparel / Fashion,6819,4422,2,3
8a9190A50adf241,Riddle Leach and Gould,http://brown.biz/,Afghanistan,1991,Ranching,3695,4817,2,3
27Eab75cE19c101,Castro Moses and Wolfe,https://lowery.com/,Anguilla,1997,Veterinary,0,0,0,0
0a3Ca1E9C01BAAE,Barber LLC,http://roth-riley.com/,Anguilla,1998,Insurance,0,0,0,0
Bf1cc30FEBed38C,Guzman PLC,http://marsh-callahan.info/,Anguilla,1987,Judiciary,0,0,0,0
eE4AA1DC0265e0e,Dennis-Bridges,https://www.woods.com/,Anguilla,1991,Translation / Localization,0,0,0,0
F801BAC42f9ac1F,Rowland Group,http://www.sutton-reynolds.com/,Anguilla,2000,Computer Games,0,0,0,0
244f2BdbB45DCBc,Wiley and Sons,https://huerta.com/,Anguilla,1994,Transportation,0,0,0,0
50D48830dc9A8ac,Soto-Perry,http://www.hester-gibson.com/,Anguilla,1992,Professional Training,0,0,0,0
6aA8Ef34dCeEd25,Holt Morris and Delgado,https://www.skinner.com/,Argentina,1999,Translation / Localization,7672,3899,4994827,7898676
